WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),Solar (W/m2),AirTemp (DegC),RH (%),y
39,41,41,36,43,208,23.9,44,-3
39,41,41,36,44,44,22.3,43,-2
39,41,41,36,44,0,20.1,46,-1.3
39,42,42,36,44,0,17.5,51,-1.2
39,42,42,36,44,0,16.1,63,-0.9
39,42,42,36,44,0,17.1,70,-0.8
39,42,42,36,44,0,16.6,62,-0.7
39,42,42,36,44,0,16.1,62,-0.8
39,42,42,36,44,0,15.7,63,-0.8
39,42,42,36,44,0,14.8,63,-0.9
39,42,42,36,44,0,13.8,66,-0.6
39,42,42,36,44,0,13.9,70,-0.6
39,42,42,36,44,0,14.2,69,-0.7
39,42,42,36,44,0,13.6,68,-0.6
39,42,42,36,44,6,13.1,70,-0.5
39,41,42,36,44,123,14.7,72,-0.3
39,41,41,36,44,306,17.6,71,-0.8
39,41,41,36,44,471,19.3,64,-1.1
39,41,41,36,44,620,20.4,58,-0.9
39,41,41,36,44,698,21.3,54,-0.7
39,41,41,36,44,708,22.1,52,-1.8
39,41,41,36,44,657,22.7,50,-1
39,41,41,36,44,531,22.7,50,-1.2
39,41,41,36,44,360,22.7,50,-1.2
39,41,41,36,44,196,22.2,51,-0.7
39,41,41,36,44,41,20.3,51,-1.2
39,42,42,36,44,0,16.3,55,-1.2
39,42,42,36,44,0,13.6,72,-0.9
39,42,42,36,44,0,12.4,85,-1
39,42,42,36,44,0,11.8,91,-0.7
39,42,42,36,44,0,11.1,94,-0.7
39,42,42,36,44,0,10.5,96,-1
39,41,41,36,44,464,15.9,99,-4.2
39,41,41,36,44,603,18.6,90,-0.7
39,41,41,36,44,702,21.9,60,-1.8
39,41,41,36,44,653,23.2,55,-1.5
39,41,41,36,44,468,23.6,52,-1
39,41,41,36,44,181,22.9,52,-1.3
39,41,41,36,44,67,21,55,-1
39,41,41,36,44,41,19.1,67,-0.4
39,42,42,36,44,0,16.1,77,-1.2
39,42,42,36,44,0,14.3,87,-1
39,42,42,36,44,0,13.4,92,-0.7
39,42,42,36,44,0,13.2,95,-0.8
39,42,42,36,44,0,12.8,97,-0.8
39,42,42,36,44,0,13.2,98,-0.3
39,42,42,36,44,0,13.8,98,-0.5
39,42,42,36,44,0,13.2,97,-0.5
39,42,42,36,44,0,12,96,-0.9
39,42,42,36,44,0,11.9,98,-0.4
39,42,42,36,44,0,12.3,96,-0.7
39,42,42,36,44,0,13.2,93,-0.2
39,42,41,36,44,44,15.5,100,-0.3
39,42,41,36,44,30,15.6,99,-2.1
39,42,41,36,44,18,15.8,96,-1
39,42,41,36,44,4,15.9,94,-2.3
39,42,41,36,44,0,16.1,92,-1.5
39,42,41,36,44,0,16.3,91,-1.2
39,42,41,36,44,0,16.4,90,-1.1
39,42,41,36,44,0,16.4,88,-0.8
39,42,41,36,44,0,16.2,87,-0.7
39,42,41,36,44,0,15.8,87,-0.6
39,42,41,36,44,0,14.9,88,-0.4
39,42,41,36,44,0,14.9,93,-0.2
39,42,41,36,44,0,15.2,95,-0.3
39,42,41,36,44,0,15.2,96,-0.6
39,42,41,36,44,0,14.9,95,-0.2
39,42,41,36,44,0,14.6,97,-0.3
39,42,41,36,44,2,14.5,99,-0.5
39,42,41,36,44,69,14.3,100,-0.5
39,41,40,36,44,448,19.1,97,-0.7
39,41,40,36,44,584,20.6,86,-0.9
39,41,40,36,44,683,22.1,77,-0.9
39,41,40,36,44,709,23.2,70,-0.7
39,41,40,36,44,616,23.7,65,-1.9
39,41,40,36,44,461,23.3,62,-1.3
39,42,41,36,44,0,11,98,-0.1
39,42,41,36,44,0,8.9,100,-0.1
39,42,40,36,44,0,13.7,84,-0.1
39,41,39,36,44,89,22.3,62,-0.1
38,41,39,36,44,659,19.2,55,-0.1
39,41,40,36,44,0,6,94,-0.1
39,41,40,35,44,0,4,99,-0.1
39,41,40,35,44,0,2.2,100,-0.1
38,41,40,36,44,0,7,99,-0.1
38,41,40,36,44,0,6,100,-0.1
38,41,40,36,44,2,5.4,100,-0.1
38,41,40,36,44,0,8.7,65,-0.1
38,41,40,36,44,0,5,84,-0.1
38,41,40,35,44,0,3.7,99,-0.1
38,41,40,36,44,0,6.6,94,-0.1
38,41,40,35,44,0,4,99,-0.1
38,40,39,36,44,406,9.5,100,-0.1
38,41,40,36,44,0,6.6,99,-0.1
38,41,40,36,44,0,5.7,100,-0.1
38,41,40,36,44,0,8.4,99,-0.1
37,41,39,36,44,191,8.5,100,-0.1
37,41,39,36,44,0,11.3,95,-0.1
38,41,40,36,44,0,9.1,99,-0.1
38,41,40,36,44,0,8.9,100,-0.1
37,41,40,36,44,30,9,100,-0.1
37,40,39,36,44,207,11.7,100,-0.1
37,41,40,36,44,0,10.7,94,-0.1
37,41,40,36,44,0,8.6,100,-0.1
37,40,39,36,44,0,13.8,84,-0.1
37,40,39,36,44,0,11.9,96,-0.1
37,41,40,36,44,0,9.1,98,-0.1
37,41,40,36,44,0,7.2,100,-0.1
