WL1(mm),WL2(mm),WL3(mm),WL4 (mm),WL5 (mm),(delta)PD
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,43,42,37,43,-0.2
37,43,42,37,43,-0.2
37,43,42,37,43,-0.1
37,43,42,37,43,-0.4
37,43,42,37,43,-0.1
37,43,42,37,43,-0.3
37,43,42,37,43,-0.3
37,43,42,37,43,-0.1
37,43,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,43,42,37,43,-0.1
37,43,42,37,43,-0.2
37,43,42,37,43,-0.2
37,43,42,37,43,-0.4
37,43,42,37,43,-0.4
37,43,42,37,43,-0.5
37,43,42,37,43,-0.6
37,43,42,37,43,-0.4
37,43,42,37,43,-0.2
37,44,42,37,43,-0.3
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,41,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,44,42,37,43,-0.1
37,43,41,37,43,-0.1
90,45,48,36,43,-0.1
93,44,51,36,43,-0.1
92,44,47,37,43,-0.1
92,44,47,37,43,-0.1
93,44,45,37,43,-0.1
93,44,45,37,43,-0.1
92,44,48,37,43,-0.1
75,44,43,37,43,-0.2
75,44,42,36,43,-0.1
75,44,42,36,43,-0.1
74,44,42,36,43,-0.1
73,44,42,36,43,-0.1
71,44,42,36,43,-0.1
70,44,41,36,43,-0.1
69,44,41,36,43,-0.1
68,44,41,36,43,-0.1
69,44,41,36,43,-0.1
68,43,40,37,43,-0.1
51,43,40,37,43,-0.1
56,43,40,37,43,-0.1
56,43,39,37,43,-0.2
52,43,39,37,43,-0.1
51,43,39,36,43,-0.1
50,43,39,36,43,-0.1
48,43,39,36,44,-0.1
48,43,39,37,43,-0.1
47,43,39,37,43,-0.1
38,43,39,37,43,-0.3
38,43,39,37,43,-0.2
38,43,39,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
38,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,43,40,37,43,-0.1
37,44,41,37,43,-0.1
54,65,57,36,44,-0.2
46,59,52,36,44,-0.1
42,57,47,36,44,-0.3
40,51,44,36,44,-0.2
58,67,51,34,44,-0.2
51,63,49,34,44,-0.1
53,64,48,34,44,-0.1
41,60,45,35,44,-0.1
40,58,45,35,44,-0.1
49,64,48,35,44,-0.1
52,64,47,34,45,-0.2
41,52,44,35,44,-0.4
41,47,42,35,44,-0.3
41,46,41,35,44,-0.3
41,45,41,35,44,-0.3
41,45,41,35,44,-0.1
41,45,41,35,44,-0.2
41,45,41,36,44,-0.1
41,45,41,36,44,-0.2
41,45,41,36,44,-0.1
41,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,45,40,36,44,-0.1
40,45,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,44,40,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,43,-0.1
40,43,39,37,43,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,44,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.2
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,43,-0.1
40,43,39,37,43,-0.1
40,43,39,36,43,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.2
40,43,39,37,43,-0.1
40,43,39,37,43,-0.1
40,43,39,37,44,-0.1
40,43,39,37,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,43,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
40,42,39,36,44,-0.1
59,67,51,29,54,-0.2
117,106,64,1,103,-0.3
86,75,52,8,91,-0.6
42,56,45,25,54,-0.3
40,54,45,26,48,-0.3
40,44,44,34,44,-0.1
40,44,44,34,44,-0.1
40,43,44,35,44,-0.3
40,43,43,35,44,-0.1
40,43,43,35,44,-0.1
40,43,43,35,44,-0.2
40,43,43,35,44,-0.1
40,42,43,35,44,-0.2
39,42,42,35,44,-0.2
39,42,42,35,44,-0.2
39,42,42,36,44,-0.1
39,42,42,36,44,-0.2
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,43,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
40,42,42,36,44,-0.1
40,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,41,42,36,44,-0.1
39,41,41,36,43,-0.2
39,41,41,36,43,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,41,42,36,44,-0.2
39,41,41,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,41,41,36,44,-0.1
39,41,41,36,44,-0.1
39,41,41,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
39,42,42,36,44,-0.1
