DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),RH (%),delta PD (mm)
170.9583333,0.001578469,1.105224745,0,0.238,0.51,94.5,-0.2
171,0.003235803,0.980280821,0,0,0.48,94,0
171.0416667,0.003235803,0.705707007,0,0.085,0.33,94,-0.1
171.0833333,0.003235803,0.610477288,0,1.089,0.38,94.6,0
171.125,0.003235803,0.657074634,0,0.97,0.42,96.6,0
171.1666667,0.003235803,0.523282206,0,0.051,0.3,96.9,-0.1
171.2083333,0.003235803,0.407079419,0,0.187,0.35,96.1,-0.1
171.25,0.003235803,0.278168971,5,0.034,0.32,96.2,0
171.2916667,0.003235803,0.250386064,34,0.051,0.41,95.7,-0.1
171.3333333,0.003235803,0.17718292,128,0,0.3,97,0
171.375,0.003235803,0.156048097,191,0,0.4,94.9,-0.1
171.4166667,0.523282206,0.001578469,396,0,0.36,93,0.1
171.4583333,0.372122673,0.001578469,632,0,0.61,80.3,-0.1
171.5,0.372122673,0.001578469,947,0,0.88,70,0.1
171.5416667,0.339005737,0.000573605,974,0,1.76,60.4,0
171.5833333,0.443905671,0.000573605,917,0,1,56.3,0
171.625,0.250386064,0.000573605,820,0,1.77,53.3,-0.1
171.6666667,0.17718292,0.000573605,649,0,1.49,49.9,0.1
171.7083333,0.224316711,0.000573605,432,0,1.03,49.3,-0.1
171.75,0.118458266,0.000573605,131,0,1.59,62.6,-0.1
171.7916667,0.136485904,0.000573605,55,0,1.23,72.7,-0.1
171.8333333,0.136485904,0.000101543,7,0,0.64,81.5,0
171.875,0.136485904,0.000101543,0,0,0.97,84.8,-0.1
171.9166667,0.10192578,0,0,0,0.88,87.5,-0.1
171.9583333,0.086847586,0,0,0,0.7,87.7,0
172,0.086847586,0,0,0,0.3,91.1,-0.1
172.0416667,0.073181235,0,0,0,0.33,91.7,0
172.0833333,0.10192578,0,0,0,0.22,91.1,0
172.125,0.073181235,0,0,0,0.15,92.1,-0.1
172.1666667,0.060882517,0,0,0,0.29,92.8,0
172.2083333,0.060882517,0,0,0,0.23,93.5,0
172.25,0.049905276,0,4,0,0.25,93.8,-0.1
172.2916667,0.040201175,0,25,0,0.39,93.9,0
172.3333333,0.040201175,0,53,0,0.64,93.6,-0.1
172.375,0.049905276,0,133,0,0.66,93.8,0
172.4166667,0.040201175,0,253,0,0.72,92.9,0
172.4583333,0.031719426,0,241,0,0.99,89.5,0
172.5,0.031719426,0,479,0,0.8,84.9,-0.1
172.5416667,0.031719426,0,662,0,0.88,75.8,0.1
