DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),AirTemp (DegC),RH (%),delta PD (mm)
166.9166667,0.008892475,0.073181235,0,0,23.4,79.3,-0.2
166.9583333,0.008892475,0.049905276,0,0,21,89.5,0
167,0.008892475,0.024406441,0,0,19.7,93.5,-0.1
167.0416667,0.008892475,0.018205417,0,0,19.1,95.6,0
167.0833333,0.005644961,0.031719426,0,0,18.6,95.9,-0.1
167.125,0.005644961,0.031719426,0,0,18.1,97.1,0
167.1666667,0.005644961,0.008892475,0,0,17.4,97.4,-0.1
167.2083333,0.008892475,0.008892475,0,0,16.9,97.9,-0.1
167.25,0.005644961,0.008892475,18,0.034,16.5,98.1,0
167.2916667,0.005644961,0.013055782,96,0,17,99.9,-0.1
167.3333333,0.005644961,0.008892475,290,0.017,18.5,99.9,0
167.375,0.013055782,0.008892475,474,0,22.2,88.1,0
167.4166667,0.003235803,0.008892475,644,0,23.8,76.5,-0.1
167.4583333,0.005644961,0.003235803,812,0,25.3,69.1,-0.1
167.5,0.005644961,0.001578469,785,0,26.6,60,0.1
167.5416667,0.008892475,0.001578469,881,0,27.4,51.5,-0.1
167.5833333,0.008892475,0.001578469,902,0,28.4,48.3,0
167.625,0.005644961,0.001578469,836,0,29.3,44.1,-0.1
167.6666667,0.005644961,0.001578469,683,0,29.5,43.9,-0.1
167.7083333,0.005644961,0.001578469,448,0,29.3,47.1,0
167.75,0.005644961,0.001578469,125,0,28.4,52.4,-0.1
167.7916667,0.003235803,0.001578469,33,0,27.6,56.9,-0.1
167.8333333,0.003235803,0.013055782,6,0,25.9,63.9,-0.1
167.875,0.005644961,0.003235803,0,0,23.2,79,0
167.9166667,0.005644961,0.003235803,0,0,21.7,85.5,-0.1
167.9583333,0.005644961,0.005644961,0,0,21,89.2,-0.1
168,0.008892475,0.008892475,0,0,20.1,91.2,0
168.0416667,0.013055782,0.008892475,0,0,19.3,92.8,-0.1
168.0833333,0.008892475,0.005644961,0,0,18.8,93.7,-0.1
168.125,0.008892475,0.005644961,0,0,18.4,94.3,0
168.1666667,0.008892475,0.005644961,0,0,18.1,94.7,-0.1
168.2083333,0.008892475,0.005644961,0,0,17.6,95.6,0
168.25,0.008892475,0.005644961,11,0,16.7,95.7,-0.1
168.2916667,0.005644961,0.003235803,172,0,17.6,97.9,0
168.3333333,0.005644961,0.001578469,365,0,20.3,87.7,0
168.375,5.86604693,0.000573605,560,0,23.4,71.2,0.4
168.4166667,0.018205417,0.008892475,736,0,25.6,56,0.3
168.4583333,0.013055782,0.008892475,874,0,27,49,-0.1
168.5,0.013055782,0.008892475,943,0,28.4,45.3,0
168.5416667,0.008892475,0.013055782,885,0,29.5,40.4,-0.1
168.5833333,0.008892475,0.018205417,847,0,30.5,32.6,0
168.625,0.008892475,0,758,0,30.6,35,-0.1
168.6666667,0.008892475,0,457,0,29.7,43,-0.1
168.7083333,0.008892475,0,454,0,27.2,48.4,-0.1
168.75,0.008892475,0,147,0,25.6,50.2,0
168.7916667,0.008892475,0,42,0,24.7,53.1,-0.1
168.8333333,0.008892475,0,6,0,23.1,64.9,-0.1
168.875,0.008892475,0,0,0,21,77.5,-0.1
168.9166667,0.005644961,0,0,0,20.1,83.2,-0.1
168.9583333,0.008892475,0,0,0,19.5,86.3,0
169,0.013055782,0,0,0,19.2,87.8,-0.1
169.0416667,0.013055782,0,0,0,18.9,89,0
169.0833333,0.008892475,0,0,0,18.4,90.2,0
169.125,0.008892475,0,0,0,17.6,92.1,-0.1
169.1666667,0.008892475,0,0,0,17,93.1,-0.1
169.2083333,0.008892475,0,0,0,16.6,94,0
169.25,0.008892475,0,14,0,16.3,95.1,0
169.2916667,0.008892475,0,81,0,16.8,95.4,-0.1
169.3333333,0.008892475,0,245,0,18.7,89.3,0
169.375,0.008892475,0,393,0,21.3,77.1,0
169.4166667,0.005644961,0,464,0,23.1,64.7,0
169.4583333,0.005644961,0,326,0,23.8,61.2,0
169.5,0.005644961,0,405,0,24.3,60.1,-0.1
169.5416667,0.005644961,0,491,0,25.1,59,0
169.5833333,0.005644961,0,430,0,25.5,55.5,0
169.625,0.005644961,0,332,0,25,63.7,-0.1
169.6666667,0.005644961,0,206,0,24.6,72.6,0
169.7083333,0.005644961,0,145,0,23.9,74,0
169.75,0.005644961,0,90,0,23.2,73.3,-0.1
169.7916667,0.005644961,0,43,0,22.7,75,0
169.8333333,0.008892475,0,4,0,22.2,78.9,-0.1
169.875,0.005644961,0,0,0,21.7,83.3,0
169.9166667,0.008892475,0,0,0.17,20.8,90.2,0
169.9583333,0.005644961,0,0,0.051,20.3,93.5,-0.1
170,0.008892475,0,0,0.613,20.2,95,0
170.0416667,0.008892475,0,0,0.919,19.7,95.4,0.1
170.0833333,0.008892475,0,0,1.072,19.3,95.4,0.1
170.125,0.008892475,0,0,1.481,18.9,96.4,0.1
170.1666667,0.008892475,0,0,1.651,18.3,97.2,0.2
170.2083333,0.008892475,0,0,0.494,17.5,96.7,0
170.25,0.008892475,0,1,1.902,17.1,96.7,0.2
170.2916667,0.008892475,0,13,1.8,17.3,97.5,0.1
170.3333333,0.013055782,0.000573605,27,3.962,17.1,98.3,0.4
170.375,0.031719426,0.003235803,29,2.617,16.8,97.6,0.2
170.4166667,0.008892475,0.008892475,56,4.081,16.8,98.4,0.4
170.4583333,0.008892475,0.013055782,131,1.26,17.1,99.5,0.1
170.5,0.005644961,0.024406441,68,1.515,17.7,98.7,0.1
170.5416667,0.003235803,0.031719426,120,3.162,17.8,99.1,0.3
170.5833333,0.008892475,0.086847586,74,5.864,18.2,98.8,0.6
170.625,0.005644961,0.372122673,98,3.877,18.1,99.2,0.3
170.6666667,0.005644961,0.705707007,79,2.311,18.4,99.3,0.2
170.7083333,0.003235803,1.695966395,56,3.962,18.4,98.5,0.3
170.75,0.003235803,3.226011378,27,5.609,18.4,97.8,0.4
170.7916667,0.001578469,4.28564367,19,3.826,18.3,97.9,0
170.8333333,0.001578469,3.348856576,5,0.562,18.2,97.6,-0.2
170.875,0.001578469,2.048334347,0,0.017,17.9,96.8,-0.2
170.9166667,0.003235803,1.534284402,0,0.017,18,95.1,-0.2
170.9583333,0.001578469,1.105224745,0,0.238,18.1,94.5,-0.2
171,0.003235803,0.980280821,0,0,18,94,0
171.0416667,0.003235803,0.705707007,0,0.085,18.1,94,-0.1
171.0833333,0.003235803,0.610477288,0,1.089,18,94.6,0
171.125,0.003235803,0.657074634,0,0.97,17.8,96.6,0
171.1666667,0.003235803,0.523282206,0,0.051,17.8,96.9,-0.1
171.2083333,0.003235803,0.407079419,0,0.187,17.9,96.1,-0.1
171.25,0.003235803,0.278168971,5,0.034,17.9,96.2,0
171.2916667,0.003235803,0.250386064,34,0.051,18.1,95.7,-0.1
171.3333333,0.003235803,0.17718292,128,0,18.4,97,0
171.375,0.003235803,0.156048097,191,0,19.2,94.9,-0.1
171.4166667,0.523282206,0.001578469,396,0,20.5,93,0.1
171.4583333,0.372122673,0.001578469,632,0,22.8,80.3,-0.1
171.5,0.372122673,0.001578469,947,0,24.5,70,0.1
171.5416667,0.339005737,0.000573605,974,0,25.9,60.4,0
171.5833333,0.443905671,0.000573605,917,0,26.6,56.3,0
171.625,0.250386064,0.000573605,820,0,27.2,53.3,-0.1
171.6666667,0.17718292,0.000573605,649,0,27.7,49.9,0.1
171.7083333,0.224316711,0.000573605,432,0,27.9,49.3,-0.1
171.75,0.118458266,0.000573605,131,0,25.8,62.6,-0.1
171.7916667,0.136485904,0.000573605,55,0,23.7,72.7,-0.1
171.8333333,0.136485904,0.000101543,7,0,22.2,81.5,0
171.875,0.136485904,0.000101543,0,0,21.3,84.8,-0.1
171.9166667,0.10192578,0,0,0,20.6,87.5,-0.1
171.9583333,0.086847586,0,0,0,20.4,87.7,0
172,0.086847586,0,0,0,19.6,91.1,-0.1
172.0416667,0.073181235,0,0,0,19.7,91.7,0
172.0833333,0.10192578,0,0,0,20,91.1,0
172.125,0.073181235,0,0,0,20.1,92.1,-0.1
172.1666667,0.060882517,0,0,0,20.1,92.8,0
172.2083333,0.060882517,0,0,0,20.1,93.5,0
172.25,0.049905276,0,4,0,20.1,93.8,-0.1
172.2916667,0.040201175,0,25,0,20.3,93.9,0
172.3333333,0.040201175,0,53,0,20.3,93.6,-0.1
172.375,0.049905276,0,133,0,20.4,93.8,0
172.4166667,0.040201175,0,253,0,21.1,92.9,0
172.4583333,0.031719426,0,241,0,21.7,89.5,0
172.5,0.031719426,0,479,0,22.6,84.9,-0.1
172.5416667,0.031719426,0,662,0,24.5,75.8,0.1
172.5833333,0.031719426,0,757,0,25.6,69.1,-0.1
172.625,0.118458266,0,768,0,26.3,67.4,0.1
172.6666667,0.060882517,0,549,0,26.4,67.5,-0.1
172.7083333,0.060882517,0,422,0,26.2,70,0
172.75,0.060882517,0,118,0,25.9,72,0
172.7916667,0.060882517,0,44,0,24.3,75,-0.1
172.8333333,0.060882517,0,9,0,22.7,79.2,-0.1
172.875,0.040201175,0,0,0,21.4,83.1,-0.1
172.9166667,0.049905276,0,0,0,20.3,89.1,-0.1
172.9583333,0.049905276,0,0,0,19.7,91.3,0
173,0.10192578,0,0,0,18.8,93.7,0
173.0416667,0.136485904,0,0,0,18.6,94.6,-0.1
173.0833333,0.10192578,0,0,0,19.1,94.1,0
173.125,0.136485904,0,0,0,19.4,94,0
173.1666667,0.118458266,0,0,0,19.5,94.1,-0.1
173.2083333,0.118458266,0,0,0,19.5,92,0
173.25,0.118458266,0,5,0,19.4,89.6,-0.1
173.2916667,0.10192578,0,38,0,19.5,90.4,0.1
173.3333333,0.10192578,0,146,0,20.3,91.4,0
173.375,0.073181235,0,466,0,22,89.1,0
173.4166667,0.073181235,0,693,0,23.2,83.1,-0.1
173.4583333,0.086847586,0,774,0,24.7,76.7,0.1
173.5,0.086847586,0,947,0,25.9,71,0
173.5416667,0.086847586,0,670,0,26.7,65.8,-0.1
173.5833333,0.060882517,0,756,0,26.7,65.4,0
173.625,0.073181235,0,735,0,26.4,64,-0.1
173.6666667,4.28564367,0,647,0,26.8,63.2,0.1
173.7083333,4.729262015,0,362,0,25.9,64.9,0.3
173.75,4.882878358,0,69,0,24.7,67.5,0.2
173.7916667,5.039394383,0,38,0,24,68.3,0.1
173.8333333,4.882878358,0,9,0,22.8,71.7,0.3
173.875,4.729262015,0,0,0,21.1,81.2,0.3
173.9166667,4.882878358,0,0,0,19.6,88,0.2
173.9583333,4.882878358,0,0,0,18.8,91.5,0.2
174,4.729262015,0,0,0,18,93.3,0.3
174.0416667,4.882878358,0.000101543,0,0,17.4,94.6,0.2
174.0833333,4.882878358,0.018205417,0,0,16.9,94.7,0.2
174.125,4.882878358,0.136485904,0,0,16.5,95.9,0.3
174.1666667,4.729262015,0.482630463,0,0,16.3,96.4,0.2
174.2083333,4.729262015,0.980280821,0,0,16.6,98,0.1
174.25,4.729262015,1.456996282,7,0,16.9,98.1,0.2
174.2916667,4.578528666,1.867261809,46,0.034,17.3,99.4,0.1
174.3333333,4.430661516,2.048334347,99,0,17.9,100,0.1
174.375,4.578528666,2.544834826,384,0,19.7,98.1,0
174.4166667,4.430661516,2.651802085,705,0,22.9,80.9,0
174.4583333,4.578528666,2.873555587,838,0,25.4,68.3,0.2
174.5,0.024406441,2.440448814,927,0,26.7,61.4,-0.2
174.5416667,0.018205417,1.613934093,948,0,27.6,58.7,-0.2
174.5833333,0.018205417,1.239087133,913,0,27.9,59.5,-0.1
174.625,0.018205417,0.756400174,820,0,27.9,61.7,-0.1
174.6666667,0.018205417,0.482630463,682,0,27.8,61.5,-0.2
174.7083333,0.018205417,0.307698217,502,0,27.7,61.6,-0.1
174.75,0.018205417,0.199927219,115,0,27.2,60.8,0
174.7916667,0.018205417,0.136485904,29,0,26.1,62.1,-0.2
174.8333333,0.018205417,0.086847586,8,0,24.6,69,-0.1
174.875,0.013055782,0.073181235,0,0,22.3,82.4,0
174.9166667,0.013055782,0.040201175,0,0,20.7,88.6,-0.1
174.9583333,0.013055782,0.031719426,0,0,19.8,91.4,-0.1
175,0.013055782,0.018205417,0,0,19,93,-0.1
175.0416667,0.013055782,0.013055782,0,0,18.2,94.1,-0.1
175.0833333,0.013055782,0.013055782,0,0,17.7,94.6,-0.1
175.125,0.013055782,0.008892475,0,0,17.1,96.1,0
175.1666667,0.013055782,0.005644961,0,0,16.6,96.2,-0.1
175.2083333,0.013055782,0.003235803,0,0.017,16.2,96.6,-0.1
175.25,0.008892475,0.001578469,13,0.034,15.9,97.2,0
175.2916667,0.008892475,0.000573605,88,0.017,16.4,99.5,-0.1
175.3333333,0.005644961,0.000573605,191,0,17.9,99.9,0
175.375,0.005644961,0.000573605,466,0,20.6,97.5,0
175.4166667,0.005644961,0.000101543,713,0,24.2,80.4,-0.1
175.4583333,0.005644961,0,857,0,26.3,68.4,0.1
175.5,0.003235803,0,950,0,27.3,63,0
175.5416667,0.005644961,0,984,0,27.6,53.5,-0.1
175.5833333,0.003235803,0,954,0,28.3,47.1,0
175.625,0.003235803,0,825,0,28.4,47,-0.1
175.6666667,0.003235803,0,574,0,28.3,49,0
175.7083333,0.003235803,0,329,0,27.9,52.4,-0.1
175.75,0.005644961,0,129,0,26.6,55.2,-0.1
175.7916667,0.005644961,0,49,0,25.3,60.5,0
175.8333333,0.005644961,0,7,0,23.8,69,-0.1
175.875,0.008892475,0,0,0,22.4,76.1,-0.1
175.9166667,0.008892475,0,0,0,21.4,82.4,-0.1
175.9583333,0.008892475,0,0,0,20.5,86.1,-0.1
176,0.008892475,0,0,0,19.6,89.4,0
176.0416667,0.005644961,0,0,0,19.1,91.3,-0.1
176.0833333,0.005644961,0,0,0,19,91.7,0
176.125,0.008892475,0,0,0,19,92.7,-0.1
176.1666667,0.005644961,0,0,0,19,93.3,-0.1
176.2083333,0.005644961,0,0,0,19.2,93.7,0
176.25,0.003235803,0,9,0,19.2,94.1,-0.1
176.2916667,0.000573605,0,40,0,19.5,94.1,0
176.3333333,0,0,45,0,20.1,93,0
176.375,0,0,101,0,20.5,92.5,-0.1
176.4166667,0,0,175,0,21.8,89.3,0
176.4583333,0,0,147,0,22.8,84.3,0
176.5,0,0,189,0.221,23,86.2,0
176.5416667,0,0,235,0.17,23.1,90.5,0.1
176.5833333,0,0,129,0,23.4,88.4,-0.1
176.625,0,0,80,1.902,22.8,90.5,0.2
176.6666667,0,0,78,3.315,22.1,94.2,0.3
176.7083333,0,0,36,4.745,22,94.8,0.5
176.75,0.000101543,0.013055782,19,8.451,21.7,95.7,0.7
176.7916667,0.000101543,0.136485904,11,5.455,21.9,96.1,0.4
176.8333333,0,0.482630463,3,3.57,22.1,96.2,0.3
176.875,0.000101543,0.809179451,0,2.736,22.5,96.6,0.2
176.9166667,0,0.756400174,0,0.698,22.5,97.1,0
176.9583333,0,0.705707007,0,0.187,22.5,97.4,-0.1
177,0,0.657074634,0,0.306,22.2,98,0
177.0416667,0,0.482630463,0,0.017,22.1,97.5,-0.2
177.0833333,0,0.443905671,0,0,22,96.6,0
177.125,0,0.339005737,0,0.017,22.6,96.1,-0.1
177.1666667,0,0.278168971,0,0,22.9,95.6,-0.1
177.2083333,0,0.199927219,0,0,22.8,94.7,0
177.25,0,0.17718292,7,0,22.8,94.6,-0.1
177.2916667,0,0.086847586,38,0,22.9,95.1,0
177.3333333,0,0.086847586,56,0.102,23.1,94.8,-0.1
177.375,0,0.086847586,118,0.017,23.3,95.6,0
177.4166667,0,0.073181235,194,0,24,92,-0.1
177.4583333,0,0.060882517,289,0,24.5,89.8,0
177.5,0,0.040201175,225,0.204,24.3,90.4,0.1
177.5416667,0,0.031719426,199,0.885,23.2,96,0
177.5833333,0,0.031719426,191,0.919,23,95.7,0.1
177.625,0,0.031719426,134,1.038,22.7,96.3,0
177.6666667,0,0.031719426,135,0.221,23.1,94.1,0
177.7083333,0,0.024406441,100,0.255,23,95.1,0
177.75,0,0.013055782,55,0,23.3,93.4,-0.1
177.7916667,0,0.013055782,21,0,23.2,92,0
177.8333333,0,0.018205417,3,0.374,22.9,93.7,0
177.875,0,0.013055782,0,0,22.7,93.6,-0.1
177.9166667,0,0.008892475,0,0,22.4,94.2,-0.1
177.9583333,0,0.005644961,0,0,21.8,95.1,0
178,0,0.005644961,0,0,21.3,95,-0.1
178.0416667,0,0.003235803,0,0,20.3,96.4,0
178.0833333,0,0.008892475,0,0,20,94.5,-0.1
178.125,0,0.001578469,0,0,19.7,95.5,0
178.1666667,0,0.000573605,0,0,19.3,96.6,-0.1
178.2083333,0,0.000573605,0,0,19,96.8,0
178.25,0,0.000573605,5,0.017,18.4,97.5,-0.1
178.2916667,0,0.000573605,80,0.017,18.1,99.1,0
178.3333333,0,0.000101543,357,0.017,20.3,98.2,-0.2
178.375,0,0.000101543,541,0,23.3,86.3,0.1
178.4166667,0,0.000101543,736,0,24.8,76.5,0
178.4583333,0,0,877,0,25.8,71.5,0
178.5,0,0,953,0,26.7,69.3,0
178.5416667,0,0,979,0,27.4,65.9,0
178.5833333,0,0,927,0,28.5,64.4,0
178.625,0,0,811,0,28.9,63,-0.1
178.6666667,0,0,605,0,29.2,63.2,-0.2
178.7083333,0,0,457,0,28.9,60,-0.7
178.7916667,0,0,57,0,26.7,69.9,-0.2
178.8333333,0,0,15,0,25,76.7,-0.1
178.875,0,0,0,0,23.8,81.5,-0.1
178.9166667,0,0,0,0,22.9,85.6,-0.1
178.9583333,0,0,0,0,22.4,86.7,0
179,0,0,0,0,21.7,89.8,-0.1
179.0416667,0,0,0,0,21,92.8,-0.1
179.0833333,0,0,0,0,20.3,93.7,0
179.125,0,0,0,0,19.7,95.1,0
179.1666667,0,0,0,0,19.2,96,-0.1
179.2083333,0,0,0,0,19.1,96,0
179.25,0,0,9,0,19.1,97.7,-0.1
179.2916667,0,0,68,0,18.9,99.7,0
179.3333333,0,0,200,0,20.3,98.9,0
179.375,0,0,360,0,22.6,92.5,0
179.4166667,0,0,480,0,24.3,85,0
179.4583333,0,0,692,0,26.3,74.6,0
179.5,0,0,556,0,27.2,64.7,0
179.5416667,0,0,563,0,27.5,66.6,-0.1
179.5833333,0,0,724,0,28.9,63.6,0
179.625,0,0,313,0,28.5,65.7,0
179.6666667,0,0,542,0,29.1,62.3,0
179.7083333,0,0,377,0,29.5,61.2,0
179.75,0,0,156,0,28.7,67.4,-0.1
179.7916667,0,0,61,0,27.1,75.8,0
179.8333333,0,0,16,0,25.4,78.3,-0.1
179.875,0,0,0,0,24,83.7,-0.1
179.9166667,0,0,0,0,22.8,89.5,0
179.9583333,0,0,0,0,22,91.8,-0.1
180,0,0,0,0,21.5,93.4,0
180.0416667,0,0,0,0,21.1,94.6,-0.1
180.0833333,0,0,0,0,20.7,94.5,0
180.125,0,0,0,0,20.3,95.5,-0.1
180.1666667,0,0,0,0,19.9,96,0
180.2083333,0,0,0,0,19.5,96.3,-0.1
180.25,0,0,12,0,19.2,96.7,0
180.2916667,0,0,116,0,19.7,99.4,0
180.3333333,0,0,310,0,22,97.9,-0.1
180.375,0,0,499,0,25.4,84.7,0
180.4166667,0,0,679,0,27.3,73,0
180.4583333,0,0,780,0,28.6,64.4,0
180.5,0,0,557,0,28.6,64.5,0
180.5416667,0,0,726,0,29.2,63.5,0
180.5833333,0,0,806,0,29.8,59.5,0
180.625,0,0,641,0,30,58.6,-0.1
180.6666667,0,0,517,0,30.1,58.3,0
180.7083333,0,0,411,0,29.8,59.5,-0.1
180.75,0,0,131,0,29,63.7,-0.1
180.7916667,0,0,47,0,27.6,68.9,0
180.8333333,0,0,10,0,26.2,76.1,-0.1
180.875,0,0,0,0,24.7,82.9,-0.1
180.9166667,0,0,0,0,23.5,88.1,-0.1
180.9583333,0,0,0,0,22.4,91,0
181,0,0,0,0,21.8,92.9,-0.1
181.0416667,0,0,0,0,21.2,93.9,0
181.0833333,0,0,0,0,20.8,94.4,-0.1
181.125,0,0,0,0,20.4,95.4,0
181.1666667,0,0,0,0,20.2,96,-0.1
181.2083333,0,0,0,0,20.6,96,0
181.25,0,0,4,0,21.1,96.5,-0.1
181.2916667,0,0,19,0,21.4,95.5,0
181.3333333,0,0,55,0,21.9,95.2,0
181.375,0,0,133,0,22.6,94,0
181.4166667,0,0,71,0,23.2,90.2,0
181.4583333,0,0,116,0,23.5,89.1,0
181.5,0,0,233,0,23.9,87.8,0
181.5416667,0,0,146,0.34,23.9,86.9,0
181.5833333,0,0,65,1.294,22.6,93.1,0.5
181.625,0,0,44,0.289,20,97.6,0.3
181.6666667,0,0,32,0.238,19.9,97.3,0.3
181.7083333,0,0,45,0.374,19.6,98.6,1.7
181.75,0,0,37,0.272,19.8,99.3,0.1
181.7916667,0,0,3,0.204,19.9,98.3,0.4
181.8333333,0,2.239344302,0,0.187,19.8,98.5,1.3
181.875,0,7.149704112,0,0.17,19.7,98.5,1
181.9166667,0,9.707417435,0,0.136,20,98.1,0.9
181.9583333,0,10.17903785,0,0.153,19.9,98.9,0.2
182,0,5.694785615,0,0.153,20.3,97.5,-1.2
182.0416667,0,2.651802085,0,0.17,22,97.3,-0.6
182.0833333,0,1.534284402,0,0.136,21,99.4,-0.3
182.125,0,0.980280821,0,0.136,20.2,100,-0.2
182.1666667,0,0.705707007,0,0.085,20.1,99.4,-0.1
182.2083333,0,0.523282206,0,0.068,20.1,99.3,-0.2
182.25,0,0.443905671,3,0.068,20.5,97.2,0
182.2916667,0,0.339005737,64,0.034,21.3,94.9,-0.1
182.3333333,0,0.250386064,102,0.034,21.3,95.5,-0.1
182.375,0,0.17718292,341,0.017,21.9,94.6,-0.1
182.4166667,0,0.086847586,726,0.034,23,89.4,0
182.4583333,0,0.049905276,691,0.034,23.6,83.7,-0.1
182.5,0,0.013055782,491,0.017,24,79,0
182.5416667,0,0.001578469,850,0.034,25.4,69.4,0
182.5833333,0,0.000101543,828,0.017,26,65,-0.1
182.625,0,0,421,0.017,25.2,65.5,0
182.6666667,0,0,499,0,25,65.1,-0.1
182.7083333,0,0,373,0.017,24.6,64.1,-0.1
182.75,0,0,114,0,23.8,66.3,-0.1
182.7916667,0,0,60,0.017,23.1,68.2,0
182.8333333,0,0,11,0,22.2,72.1,-0.2
182.875,0,0,0,0,21.4,75.5,-0.1
182.9166667,0,0,0,0.017,20.8,77.8,-0.1
182.9583333,0,0,0,0,20.4,79.8,0
183,0,0,0,0,19.9,82.9,-0.1
183.0416667,0,0,0,0.017,19.5,85.6,-0.1
183.0833333,0,0,0,0,19.5,87.3,0
183.125,0,0,0,0,19.1,90.8,0
183.1666667,0,0,0,0.017,19,92.1,-0.1
183.2083333,0,0,0,0,18.9,92.3,0
183.25,0,0,7,0,18.8,92.1,-0.1
183.2916667,0,0,70,0,19.1,93.8,0
183.3333333,0,0,187,0.017,20.4,90.5,0
183.375,0,0,247,0,21.7,81.7,0
183.4166667,0,0,462,0,22.5,78,-0.1
183.4583333,0,0,891,0.017,25.4,64.7,0
183.5,0,0,836,0,26.1,61.1,0
183.5416667,0,0,369,0.017,25.8,61.1,0
183.5833333,0,0,369,0,25.6,64.9,0
183.625,0,0,165,0.017,25,67.9,0
183.6666667,0,0,167,0.017,24.9,70.5,-0.1
183.7083333,0,0,119,0,24.3,71.9,0
183.75,0,0,132,0.017,24.1,75.1,-0.1
183.7916667,0,0,33,0,23.4,77,0
183.8333333,0,0,6,0.017,22.9,78.4,-0.1
183.875,0,0,0,0,21.4,85.3,-0.1
183.9166667,0,0,0,0.017,19.8,90.7,-0.1
183.9583333,0,0,0,0,19.1,93.2,0
184,0,0,0,0.017,18.5,94.4,-0.1
184.0416667,0,0,0,0,18.1,95.2,0
184.0833333,0,0,0,0.017,17.7,95.1,0
184.125,0,0,0,0,17.4,96.3,-0.1
184.1666667,0,0,0,0,17.3,96.5,0
184.2083333,0,0,0,0,17,96.8,0
184.25,0,0,7,0,16.7,97,-0.1
184.2916667,0,0,115,0,17.3,99.3,0
184.3333333,0,0,220,0.017,19.4,96.7,-0.1
184.375,0,0,351,0,21.1,89.5,0
184.4166667,0,0,467,0,23,81,0
184.4583333,0,0,305,0,23.4,77.5,0
184.5,0,0,354,0,23.9,77.9,0
